日期, 週選bc, 週選bp, 週選sc, 週選sp, 月選bc, 月選bp, 月選sc, 月選sp
2020/6/3,8790,7896,8849,8849,82827,69655,184953,200747
2020/6/2,38999,43578,52448,52448,79530,69362,183215,202010
2020/6/1,27302,31316,46772,46772,78540,71871,184200,201486
2020/5/29,22906,31017,27949,27949,77626,72011,182124,198766
2020/5/28,15330,22408,22565,22565,75933,71903,178911,195562
2020/5/27,6280,4546,8469,8469,75034,70906,177892,192866
2020/5/26,34667,38743,48107,48107,67998,65555,177774,191610
2020/5/25,29955,45597,31666,31666,66131,65990,176437,192983
2020/5/22,23954,34271,24373,24373,65652,62549,173080,186520
2020/5/21,16099,15839,19878,19878,65004,60448,174431,181025
2020/5/20,4192,5364,7351,7351,54094,52361,170774,174837
2020/5/12,27253,38462,42658,42658,73600,71329,61626,67302
2020/5/11,26569,28938,41439,41439,73821,67666,61924,62940
2020/5/8,17443,20703,31958,31958,75082,68125,59569,61642
2020/5/7,16242,15883,20946,20946,72132,65749,59350,60030
2020/5/6,7550,6475,8080,8080,67538,60925,56232,56523
2020/5/5,31565,41177,42405,42405,66103,58787,54958,53488
2020/06/05,25367,28404,31916,31916,81754,70656,185726,201338
2020/06/08,32002,38507,40820,40820,86871,77758,197133,204507
2020/06/09,36865,43614,44484,44484,87636,76724,198474,203600
日期, 週選bc, 週選bp, 週選sc, 週選sp, 月選bc, 月選bp, 月選sc, 月選sp
日期, 週選bc, 週選bp, 週選sc, 週選sp, 月選bc, 月選bp, 月選sc, 月選sp
日期, 週選bc, 週選bp, 週選sc, 週選sp, 月選bc, 月選bp, 月選sc, 月選sp
日期, 週選bc, 週選bp, 週選sc, 週選sp, 月選bc, 月選bp, 月選sc, 月選sp
