日期, 自營大台多, 自營大台空, 外資大台多, 外資大台空, 自營小台多, 自營小台空, 外資小台多, 外資小台空
2020/5/4,19810,12460,58597,21987,7819,8534,1174,6286
2020/5/5,20463,12894,57029,20944,6972,7610,966,3538
2020/5/6,20117,12529,58880,18911,7644,7666,1000,1347
2020/5/7,20687,11850,58944,21080,8137,9293,1182,1901
2020/5/8,20305,11752,59538,22450,8865,10223,1576,2901
2020/5/11,20242,12258,60376,23494,9311,10770,1798,3511
2020/5/12,20168,12136,62025,23478,10924,9935,415,5533
2020/5/13,19843,12186,64559,22864,11624,9349,2284,3729
2020/5/14,19319,12274,63806,25053,12192,10135,679,5492
2020/5/15,19023,11951,65077,23811,11811,9838,3774,1627
2020/5/18,18719,11077,65514,29557,13702,10974,373,5459
2020/5/19,18115,11616,63349,25919,13036,10328,3295,3750
2020/5/20,17392,8506,51771,15758,4565,5799,2415,417
2020/5/21,18862,8661,52661,18534,5196,6712,6786,353
2020/5/22,19691,9582,53263,20010,8257,6976,107,6752
2020/5/25,18858,9452,51254,18533,6764,6894,1394,2404
2020/5/26,19199,10003,53509,19311,5343,7648,7672,2324
2020/5/27,19135,9970,52624,18441,5608,7320,6670,2652
2020/5/28,18918,9985,53556,18541,6485,7296,5365,4827
2020/5/29,19800,10482,54853,18241,6675,7249,8791,4263
2020/6/1,19670,11556,58294,19599,7248,8983,4377,3690
2020/6/2,19828,11327,57432,18038,7487,9148,4073,4081
2020/6/3,20118,11921,59054,18160,7937,11105,10377,3625
2020/6/4,19922,11966,56523,17097,7573,11056,6204,3843
2020/06/05,20244,11847,59383,19348,8157,11455,7153,4135
2020/06/08,19800,12443,58002,20873,8351,11919,5685,4603
2020/06/09,20525,12736,61433,22390,8340,11357,6709,4135
2020/06/10,20678,12047,61176,23975,8926,11031,6021,4541
2020/06/11,19320,10996,64318,23542,6824,8999,3190,6899
2020/06/12,19385,9940,63832,28695,5912,9281,704,9431
2020/06/16,19956,11969,66214,30635,5486,9778,6255,6747
